title,price,image
"Toyota Prius 3 поколение [рестайлинг] Хетчбэк , 2012",13500$ ,https://i.cars.kg/preview/r/oQ4U_HLTXikHB4pmu4dy6A/1080x-/20221118/f5ddeb6a7866f7377810415014ec5353.jpg
"Toyota Prius 4 поколение Хетчбэк , 2020",29500$ ,https://i.cars.kg/preview/r/qyZpECvbdQbqyFcXceQtJQ/1080x-/20220728/d344a28b1a3855c35083cf439901b875.jpg
"Honda CR-V 2 поколение [рестайлинг] Кроссовер , 2005",12600$ ,https://i.cars.kg/preview/r/Rm-0AA30WrRRBLQxR3-ghA/1080x-/20220901/db68eb06bfa506b12a540c7554d6532d.jpg
"ВАЗ (Lada) 2107 1 поколение Седан , 2010",8000$ ,https://i.cars.kg/preview/r/Bz4hTihU7nbyTEq0eB6ljg/1080x-/20221120/4b15117ddad1719a60aa82330339bb45.jpeg
"Hyundai Santa Fe DM [рестайлинг] Premium кроссовер , 2016",26500$ ,https://i.cars.kg/preview/r/plOggCUMgyLG0ryrczy15g/1080x-/20221121/fbddcdb5a4f0b2f5ac706e475c35b853.jpeg
"Toyota Highlander , 2017",38500$ ,https://i.cars.kg/preview/r/A32hxP71v0VY46LusbDdfQ/1080x-/20221121/27cc57d20e90fcacadcf0ba329a5d4b6.jpg
"Lexus GS 3 поколение Седан , 2008",14500$ ,https://i.cars.kg/preview/r/Nkl1tLN_ArSTw-5WiGI40g/1080x-/20221117/d0c9c37a470e2657e9da58b897612cd2.jpg
"Toyota Camry , 2019",33500$ ,https://i.cars.kg/preview/r/atJpV_P7wf_VPP3Skz4H8w/1080x-/20221116/7ca2c4d7a052840e548488560b15f9e2.jpg
"Toyota Avensis Verso 1 поколение [рестайлинг] Минивэн , 2003",6277$ ,https://i.cars.kg/preview/r/AEgstRMXrcpgf-cVi2nKFQ/1080x-/20221123/907f3cf4f4fa8c09ef5f5e240d60baf0.jpg
"Kia K5 1 поколение Седан , 2019",18599$ ,https://i.cars.kg/preview/r/Iy9tv9PT7GymQjrvqNIaLw/1080x-/20221123/9c5b2cbf5931355b126531f62c039af6.jpg
"Toyota Camry , 2012",15500$ ,https://i.cars.kg/preview/r/9gRypOmqC97W_a9uC0NlUw/1080x-/20221123/b3d039949ce67f876b887e064f78cb90.jpg
"Daewoo Matiz M150 [рестайлинг] Хетчбэк , 2000",2013$ ,https://i.cars.kg/preview/r/0EeiwunfXRpH8HW1LnrigQ/1080x-/20221123/d814ccf10935c5adcc564b5b2db4c4ff.webp
"Mercedes-Benz , 2022",1000$ ,https://i.cars.kg/preview/r/jx5o2Oi7-0y1r4mlqsO7zA/1080x-/20221123/0fd58280d3e893309df5baab9fe0569b.jpg
"Subaru Forester 2 поколение [рестайлинг] Кроссовер , 2005",4300$ ,https://i.cars.kg/preview/r/fRPSM73gDU7wHK8m-TUW7w/1080x-/20221122/031231e872a863d8cdc149c82c87e38d.jpg
"BMW X6 M E71/E72 Sports Activity Coupe кроссовер 5-дв. , 2009",21000$ ,https://i.cars.kg/preview/r/s1J4cM5dXOD-WMVbudlG9w/1080x-/20221122/1ae6a8251db761015e850cf7167544cd.jpg
"Lexus GX 1 поколение Внедорожник , 2006",23000$ ,https://i.cars.kg/preview/r/XCsPB0mK0usDl_5NEYVU_g/1080x-/20221122/f8a9ebe3dc02e7c7112673a432d24aea.webp
"Kia K5 1 поколение Седан , 2014",13000$ ,https://i.cars.kg/preview/r/jncLLoSHIDTp_ZZtxgoJ4w/1080x-/20221122/bad4b9026a99ff88e17603809462777d.jpg
"Kia Sportage 4 поколение Кроссовер , 2016",19000$ ,https://i.cars.kg/preview/r/XK8KABEqixgfmBNf3VQltQ/1080x-/20221122/8eb7f5ba61414da27bdc7ae728d3b2b0.jpg
"Nissan Cefiro A33 Седан , 2000",3553$ ,https://i.cars.kg/preview/r/i0Uz2n5Uy1m2K_OgHWv_Lg/1080x-/20221122/2ccb6a4207a8066e15748d6f3ee8f043.jpeg
"Toyota Camry XV30 [рестайлинг] Седан , 2005",11300$ ,https://i.cars.kg/preview/r/M_lMdu7B9zrVVb6DdiEDGA/1080x-/20221122/bbceb2f68ee77bde7ded90162ad285c0.jpg
"Kia Rio , 2018",14500$ ,https://i.cars.kg/preview/r/bSgOeZcKpqrbZ7fNtA1Xqw/1080x-/20221122/7784582d588d1cd4688cf34983faa4ab.jpg
"Volkswagen Golf 4 поколение Универсал , 1999",4800$ ,https://i.cars.kg/preview/r/C2oZcBtQ4_HPge5nyI21KQ/1080x-/20221122/6a9f5c39a77d7a5122bb17ffbcb0956c.jpeg
"Toyota Allex E130 [2-й рестайлинг] Хетчбэк , 2005",8000$ ,https://i.cars.kg/preview/r/pYO-ST32jkJOc9wLSFgzMQ/1080x-/20221122/94c7ebb02aeb2140c649f7b8c55b7345.jpg
"Toyota Yaris XP9 Хетчбэк 3-дв. , 2008",6900$ ,https://i.cars.kg/preview/r/iqs0SNMlPeUwECWme3EJAw/1080x-/20221122/d0f8650be92ebeb18a2a7be88a88205f.jpg
"Toyota Camry XV50 Седан 4-дв. , 2014",19500$ ,https://i.cars.kg/preview/r/52ceUDze5BbL8iLsekO9_w/1080x-/20221122/e951a2c7b81a7de548793463ddc34fa2.jpg
"Lexus ES 6 поколение [рестайлинг] Седан , 2016",29900$ ,https://i.cars.kg/preview/r/Xs3r5F1V2nIksqJvRuieTg/1080x-/20221122/b74474bfc0b0231e3cda785c4e0075c1.jpg
"Toyota Avalon XX40 Седан , 2015",30000$ ,https://i.cars.kg/preview/r/L4maL10kfNC1wXH9-sGQlQ/1080x-/20221122/02ae22f0b37dc395771897b5aae08113.webp
"Volkswagen ID4 crozz prime, 2022",42500$ ,https://i.cars.kg/preview/r/-OiTSRAwF9uTNULl4ZH4nA/1080x-/20221122/16c892a89030099e0690d3bc78bc8bdc.jpg
"Lexus GX 1 поколение Внедорожник , 2005",25000$ ,https://i.cars.kg/preview/r/VuU6x25W5anDBwTBK5wIkQ/1080x-/20221122/a24f7f7920636346addfc7f90a1aab10.jpg
"Toyota 4Runner , 2018",47000$ ,https://i.cars.kg/preview/r/IK2HJsGUXXYlIisL_1FVgw/1080x-/20221121/105980b14132c7e3234814b22e147180.jpg
"Toyota Land Cruiser Prado , 2021",70000$ ,https://i.cars.kg/preview/r/9VDjQ5POiU7i73vS477_1Q/1080x-/20221121/a8691ae71418c9abedfb16ba23c88ef6.jpg
"Honda CR-V 3 поколение Кроссовер , 2009",13000$ ,https://i.cars.kg/preview/r/Epnv_ePOpgmVM0QEeT763w/1080x-/20221121/5ab37e78764898e8a75350da3348bd65.jpg
"Hyundai Sonata YF Седан 4-дв. , 2018",16000$ ,https://i.cars.kg/preview/r/M5ReuZzm2ue5QzvRG68A2A/1080x-/20221121/7f0d19b1ec4bd65fe95fa8be63f04b83.jpg
"ВАЗ (Lada) 2106 1 поколение Седан , 1998",0$ ,https://i.cars.kg/preview/r/tTXxBYg7Aafa0LWpuLziqg/1080x-/20221121/5654c336557f8ee478f09d6a5f6c05c4.jpg
"Toyota Highlander 3 поколение Кроссовер , 2016",37000$ ,https://i.cars.kg/preview/r/JjAm9j2kHKqGCD4p8Wn-Hw/1080x-/20221121/ed38c044473debac8f17a3c0500d9f74.jpg
"Mercedes-Benz S-Класс W221 Седан , 2006",12000$ ,https://i.cars.kg/preview/r/Z4bLpk6soNDsgoOWO7WqRA/1080x-/20221121/7174d0b274f65cedac81d8fe49de8455.jpg
"Lexus LX 3 поколение Внедорожник , 2011",45000$ ,https://i.cars.kg/preview/r/T6Oi5isJj70tag5xjGvSAg/1080x-/20221121/c54361439b3256c4b9c0ff29dca21600.webp
"Hyundai , 2008",5500$ ,https://i.cars.kg/preview/r/KfVRHxIn_z9Y5sasTO38Fw/1080x-/20221121/b80f555c5dda7bebca2545e9af4c402e.jpg
"Toyota RAV4 2 поколение Кроссовер 3-дв. , 2003",8000$ ,https://i.cars.kg/preview/r/S4COqLuoH5IzWCySovlIdg/1080x-/20221121/57fa3827b10bb4a5ee37fe6cd29732da.jpg
"Nissan Primera P12 Седан 4-дв. , 2006",4737$ ,https://i.cars.kg/preview/r/qrB5L4uWANQBBfAgD46aUA/1080x-/20221121/9df83957190d2818245833ccc329fa42.jpg
